"","Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","max_consecutive_highwind_days","Station"
"1",2010,4,11.7233333333333,2.49666666666667,4.26666666666667,11.79,18.0876666666667,2.46666666666667,1,5749
"2",2010,5,15.2548387096774,9.40645161290323,8.64516129032258,12.5935483870968,18.9264516129032,2.67741935483871,2,5749
"3",2010,6,20.4733333333333,3.41666666666667,5.03333333333333,10.8366666666667,21.9713333333333,2.4,1,5749
"4",2010,7,25.2967741935484,1.62903225806452,2.2258064516129,11.6064516129032,24.0351612903226,2.45161290322581,2,5749
"5",2010,8,20.8709677419355,6.72258064516129,5.12903225806452,11.2258064516129,18.0361290322581,2.54838709677419,2,5749
"6",2010,9,16.6766666666667,4.61,4.33333333333333,9.63,14.2203333333333,2.3,0,5749
"7",2010,10,11.258064516129,5.19354838709677,5.12903225806452,10.8354838709677,8.02161290322581,2.41935483870968,2,5749
"8",2011,4,14.91,1.14666666666667,1.96666666666667,12.5166666666667,20.1923333333333,2.6,2,5749
"9",2011,5,18.9483870967742,1.73225806451613,1.74193548387097,12.1451612903226,23.09,2.51612903225806,2,5749
"10",2011,6,20.0233333333333,4.77666666666667,6.8,10.1833333333333,21.0373333333333,2.3,1,5749
"11",2011,7,21.3354838709677,3.64516129032258,3.67741935483871,10.941935483871,22.2322580645161,2.41935483870968,1,5749
"12",2011,8,23.7096774193548,2.54516129032258,2.45161290322581,10.1225806451613,20.7916129032258,2.29032258064516,2,5749
"13",2011,9,20.2,4.28666666666667,3.26666666666667,8.96333333333333,14.6693333333333,2.16666666666667,2,5749
"14",2011,10,12.8709677419355,2.12903225806452,1.7741935483871,10.4677419354839,10.3193548387097,2.32258064516129,1,5749
"15",2012,4,10.7366666666667,6.75666666666667,8.63333333333333,12.2333333333333,13.9536666666667,2.56666666666667,1,5749
"16",2012,5,15.7225806451613,4.59032258064516,5.06451612903226,12.0483870967742,20.4606451612903,2.58064516129032,1,5749
"17",2012,6,20.82,3.99666666666667,3.76666666666667,10.7833333333333,22.021,2.33333333333333,0,5749
"18",2012,7,23.0161290322581,1.69677419354839,2.61290322580645,10.6741935483871,23.7045161290323,2.35483870967742,0,5749
"19",2012,8,24.5483870967742,1.40967741935484,2.67741935483871,10.8806451612903,19.3277419354839,2.32258064516129,1,5749
"20",2012,9,18.5833333333333,3.39333333333333,5.03333333333333,11.8033333333333,13.566,2.53333333333333,2,5749
"21",2012,10,13.058064516129,4.75806451612903,5.64516129032258,10.8451612903226,7.82870967741936,2.35483870967742,2,5749
"22",2013,4,11.76,7.33,8.83333333333333,11.6033333333333,13.9,2.53333333333333,2,5749
"23",2013,5,14.4032258064516,8.00322580645161,7.80645161290323,11.7612903225806,19.2351612903226,2.58064516129032,1,5749
"24",2013,6,19.6666666666667,1.54,2.1,11.2033333333333,23.6086666666667,2.43333333333333,2,5749
"25",2013,7,24.4,4.05161290322581,3.29032258064516,9.93548387096774,22.6625806451613,2.19354838709677,0,5749
"26",2013,8,22.6838709677419,3.82903225806452,3.35483870967742,10.1483870967742,20.6232258064516,2.25806451612903,1,5749
"27",2013,9,18.3666666666667,2.89,3.06666666666667,10.0466666666667,14.5936666666667,2.33333333333333,0,5749
"28",2013,10,13.7548387096774,6.28064516129032,7.54838709677419,9.80322580645161,6.23,2.25806451612903,1,5749
"29",2014,4,13.4966666666667,3.49333333333333,4.13333333333333,11.8733333333333,17.3276666666667,2.53333333333333,1,5749
"30",2014,5,16.0483870967742,1.98064516129032,3.35483870967742,12.8,21.3987096774194,2.64516129032258,3,5749
"31",2014,6,21.3433333333333,3.80333333333333,4.06666666666667,10.99,22.389,2.4,0,5749
"32",2014,7,20.8,7.3,6.38709677419355,9.02903225806452,20.7803225806452,2.16129032258065,0,5749
"33",2014,8,19.8064516129032,6.6,8.35483870967742,9.47096774193548,17.0874193548387,2.29032258064516,1,5749
"34",2014,9,17.95,2.43666666666667,4.46666666666667,10.5,15.0383333333333,2.3,2,5749
"35",2014,10,14.6387096774194,4.25806451612903,5.35483870967742,9.91612903225806,8.11645161290323,2.19354838709677,2,5749
"36",2015,4,12.7733333333333,2.56666666666667,3.7,13.7,19.112,2.76666666666667,3,5749
"37",2015,5,17.0354838709677,4.62903225806452,5.19354838709677,11.7258064516129,20.328064516129,2.48387096774194,1,5749
"38",2015,6,21.24,4.21,4.93333333333333,10.1566666666667,22.5963333333333,2.3,2,5749
"39",2015,7,26.4225806451613,1.36774193548387,2.96774193548387,11.2548387096774,22.4941935483871,2.41935483870968,0,5749
"40",2015,8,23.1870967741935,5.13870967741935,4.19354838709677,9.4258064516129,19.1358064516129,2.19354838709677,0,5749
"41",2015,9,17.3066666666667,4.60333333333333,5.6,11.8233333333333,12.672,2.56666666666667,1,5749
"42",2015,10,12.6064516129032,5.49677419354839,5.80645161290323,9.47741935483871,8.85258064516129,2.12903225806452,0,5749
"43",2016,4,12.8266666666667,2.63333333333333,4.73333333333333,12.6233333333333,16.7216666666667,2.56666666666667,1,5749
"44",2016,5,15.2322580645161,5.63870967741935,6,12.4870967741935,19.4151612903226,2.61290322580645,2,5749
"45",2016,6,19.7133333333333,4.52,6.16666666666667,9.49666666666667,22.9616666666667,2.23333333333333,0,5749
"46",2016,7,23.2032258064516,2.58064516129032,2.93548387096774,10.5903225806452,22.8748387096774,2.32258064516129,3,5749
"47",2016,8,22.1741935483871,3.4,3.09677419354839,11.0645161290323,21.0148387096774,2.41935483870968,2,5749
"48",2016,9,20.1333333333333,1.66333333333333,2.4,10.1933333333333,15.7763333333333,2.33333333333333,2,5749
"49",2016,10,12.1032258064516,3.5258064516129,5,10.5967741935484,8.21612903225807,2.29032258064516,1,5749
"50",2017,4,13.1866666666667,3.01666666666667,3.13333333333333,16.2866666666667,18.2696666666667,3.16666666666667,3,5749
"51",2017,5,17.0838709677419,4.19677419354839,5.06451612903226,13.6709677419355,20.6522580645161,2.80645161290323,2,5749
"52",2017,6,22.37,8.71666666666667,4.73333333333333,14.62,22.919,2.9,2,5749
"53",2017,7,22.7935483870968,3.20322580645161,2.38709677419355,12.4645161290323,23.0751612903226,2.64516129032258,1,5749
"54",2017,8,23.6677419354839,2.38709677419355,1.74193548387097,13.1161290322581,20.5122580645161,2.64516129032258,1,5749
"55",2017,9,16.8033333333333,5.30666666666667,3.76666666666667,13.61,13.9013333333333,2.83333333333333,2,5749
